StationID,AverageDur,NumberTrips,lat,long
3099,19.67,625,39.934010,-75.15094000
3100,14.89,1388,39.927769,-75.15103100
3101,16.15,1414,39.942951,-75.15955400
3102,15.80,1521,39.967590,-75.17952000
3104,18.62,809,39.966640,-75.19209300
3106,48.12,85,39.991791,-75.18637100
3107,28.39,340,39.982029,-75.18866000
3110,22.07,549,39.961750,-75.13641400
3111,31.52,299,39.977791,-75.21322600
3112,15.41,701,39.953732,-75.21824600
3113,19.56,203,39.974720,-75.19780700
3114,12.89,1104,39.937752,-75.18012200
3115,15.50,564,39.972630,-75.16757200
3116,15.93,834,39.960060,-75.17198200
3117,42.78,211,39.978409,-75.22399100
3118,17.52,468,39.958660,-75.21322600
3119,22.61,375,39.966740,-75.20799300
3120,18.54,1314,39.975220,-75.18669100
3123,20.99,302,39.980042,-75.17088300
3124,25.34,981,39.953671,-75.13955700
3125,13.80,1338,39.943909,-75.16735100
3150,16.41,781,39.928841,-75.17021200
3152,15.27,405,39.949928,-75.20285800
3153,16.51,260,39.972160,-75.12993600
3154,12.23,1927,39.959240,-75.15821100
3155,9.97,957,39.940182,-75.15441900
3156,14.22,1291,39.953812,-75.17407200
3157,17.14,968,39.925449,-75.15953800
3158,17.71,636,39.925522,-75.16903700
3159,13.14,1099,39.951210,-75.19962300
3160,14.11,1338,39.956619,-75.19862400
3161,13.41,1810,39.954861,-75.18090800
3162,13.93,757,39.945950,-75.18475300
3163,14.92,1391,39.949741,-75.18096900
3164,12.90,931,39.928139,-75.16515400
3165,15.33,951,39.958191,-75.17820000
3166,15.09,301,39.971951,-75.13445300
3168,13.10,2132,39.951340,-75.17394300
3169,15.54,987,39.953819,-75.14263200
3170,14.95,614,39.944260,-75.18134300
3181,31.47,152,39.896290,-75.17514000
3182,17.85,939,39.950809,-75.16953300
3183,26.48,103,39.889938,-75.17678800
3184,11.69,310,39.945728,-75.19551100
3185,18.68,1633,39.951691,-75.15888200
3187,14.97,780,39.957249,-75.17231800
3188,26.60,600,39.904709,-75.17340100
3190,15.08,2148,39.948921,-75.16990700
3196,29.46,97,39.987171,-75.17476700
3197,14.13,603,39.920830,-75.17032600
3200,19.00,420,39.975830,-75.16845700
3201,13.13,1185,39.955231,-75.16619900
3203,11.82,1348,39.940769,-75.17227200
3204,12.75,1208,39.964371,-75.16581700
3205,19.13,601,39.954048,-75.16783100
3207,13.12,1136,39.954411,-75.19200100
3208,11.68,2142,39.950481,-75.19323700
3209,19.00,769,39.949001,-75.21278400
3210,30.83,650,39.984921,-75.15667700
3211,13.90,652,39.971722,-75.17060100
3212,28.17,1110,39.963829,-75.18177000
3226,19.60,345,39.981010,-75.13720700
3233,24.51,271,39.955009,-75.15207700
3235,14.26,921,39.959999,-75.16510000
3236,22.87,665,39.965660,-75.17765000
3237,18.29,338,39.917171,-75.17095900
3238,11.47,1413,39.946281,-75.15138200
3240,16.40,92,39.962769,-75.21185300
3241,19.20,360,39.952251,-75.22637200
3243,26.03,150,39.983501,-75.14743000
3244,12.24,1987,39.938648,-75.16674000
3245,17.73,801,39.978870,-75.15776800
3246,19.82,644,39.947819,-75.22300700
3247,23.28,196,39.965382,-75.21514100
3248,12.06,855,39.942131,-75.18335000
3249,13.08,839,39.957840,-75.19078800
3250,14.02,333,39.956730,-75.14575200
3251,32.29,266,39.933659,-75.19319200
3252,11.64,521,39.938820,-75.19323700
3253,24.04,362,39.931740,-75.18995700
3254,24.81,487,39.980911,-75.16065200
3255,14.48,1215,39.950951,-75.16438300
3256,12.87,1602,39.952690,-75.17778800
3257,18.63,273,39.921600,-75.15000200
3258,24.92,200,39.958279,-75.22424300
3259,13.62,467,39.960159,-75.19883700
3261,14.42,1001,39.963039,-75.14099100
3263,14.20,405,39.958599,-75.20809900
3264,11.83,1203,39.945709,-75.15508300
3265,12.23,675,39.959572,-75.19632700
3266,20.10,465,39.923698,-75.14701100
3267,20.61,421,39.917999,-75.17960400
3268,10.67,3,39.976330,-75.15100900
3271,17.07,214,39.947601,-75.22946200
3272,29.13,179,39.964050,-75.22048200
3273,41.24,385,40.007729,-75.19196300
3275,24.21,448,39.975761,-75.12156700
3276,11.43,417,39.965691,-75.15679200
3277,16.68,416,39.983059,-75.16738100
